ds,y
1/1/2011,146.48
1/2/2011,147.06
1/3/2011,246.7
1/4/2011,236.64
1/5/2011,235.14
1/6/2011,246.36
1/7/2011,236.88
1/8/2011,164.71
1/9/2011,168.58
1/10/2011,253.65
1/11/2011,254.65
1/12/2011,257.09
1/13/2011,265.97
1/14/2011,250.19
1/15/2011,156.4
1/16/2011,154.97
1/17/2011,193.21
1/18/2011,236.84
1/19/2011,240.94
1/20/2011,256.85
1/21/2011,244.3
1/22/2011,168.78
1/23/2011,171.13
1/24/2011,258.31
1/25/2011,233.61
1/26/2011,238.09
1/27/2011,242.03
1/28/2011,235.81
1/29/2011,158.92
1/30/2011,150.17
1/31/2011,238.5
2/1/2011,241.19
2/2/2011,233.79
2/3/2011,255.89
2/4/2011,245.28
2/5/2011,160.49
2/6/2011,154.7
2/7/2011,236.13
2/8/2011,252.74
2/9/2011,256.15
2/10/2011,258.75
2/11/2011,204.01
2/12/2011,157.46
2/13/2011,151.29
2/14/2011,225.34
2/15/2011,246.68
2/16/2011,238.91
2/17/2011,245.94
2/18/2011,219.66
2/19/2011,148.33
2/20/2011,152.18
2/21/2011,195.5
2/22/2011,254.04
2/23/2011,247.16
2/24/2011,246.16
2/25/2011,239.22
2/26/2011,153.02
2/27/2011,146.91
2/28/2011,225.25
3/1/2011,233.42
3/2/2011,240.4
3/3/2011,259.31
3/4/2011,237.98
3/5/2011,144.75
3/6/2011,137.43
3/7/2011,230.65
3/8/2011,229.44
3/9/2011,223.36
3/10/2011,232.64
3/11/2011,223.97
3/12/2011,151.16
3/13/2011,151.732174
3/14/2011,229.98
3/15/2011,229.62
3/16/2011,230.59
3/17/2011,229.46
3/18/2011,220.78
3/19/2011,136.11
3/20/2011,131.65
3/21/2011,224.16
3/22/2011,220.92
3/23/2011,229.48
3/24/2011,236.29
3/25/2011,236.03
3/26/2011,148.34
3/27/2011,146.49
3/28/2011,235.97
3/29/2011,238.72
3/30/2011,228.54
3/31/2011,232.05
4/1/2011,227.87
4/2/2011,142.58
4/3/2011,137.37
4/4/2011,221.94
4/5/2011,227.06
4/6/2011,229.71
4/7/2011,229.99
4/8/2011,227.12
4/9/2011,136.01
4/10/2011,134.8
4/11/2011,228.9
4/12/2011,220.48
4/13/2011,223.17
4/14/2011,221.8
4/15/2011,221.13
4/16/2011,139.58
4/17/2011,131.96
4/18/2011,210.28
4/19/2011,221.48
4/20/2011,222.67
4/21/2011,230.4
4/22/2011,224.09
4/23/2011,135.54
4/24/2011,132.04
4/25/2011,256.51
4/26/2011,278.16
4/27/2011,272.84
4/28/2011,287.22
4/29/2011,264.11
4/30/2011,135.97
5/1/2011,134.65
5/2/2011,233.49
5/3/2011,260.75
5/4/2011,230.99
5/5/2011,238.39
5/6/2011,243.28
5/7/2011,133.58
5/8/2011,134.94
5/9/2011,264.25
5/10/2011,258.02
5/11/2011,260.44
5/12/2011,260.28
5/13/2011,221.35
5/14/2011,132.59
5/15/2011,134.56
5/16/2011,265.92
5/17/2011,228.54
5/18/2011,243.02
5/19/2011,280.35
5/20/2011,263.77
5/21/2011,133.71
5/22/2011,137.2
5/23/2011,270.71
5/24/2011,299.49
5/25/2011,297.05
5/26/2011,309.29
5/27/2011,316.28
5/28/2011,127.5
5/29/2011,127.99
5/30/2011,263.36
5/31/2011,404.465455
6/1/2011,365.94
6/2/2011,303.7
6/3/2011,260.08
6/4/2011,128.13
6/5/2011,126.49
6/6/2011,311.32
6/7/2011,335.35
6/8/2011,350.11
6/9/2011,340.93
6/10/2011,336.3
6/11/2011,141.8
6/12/2011,140.44
6/13/2011,316.31
6/14/2011,302.87
6/15/2011,295.87
6/16/2011,316.28
6/17/2011,287.9
6/18/2011,135.35
6/19/2011,137.32
6/20/2011,328.67
6/21/2011,337.58
6/22/2011,337.27
6/23/2011,323.8
6/24/2011,303.45
6/25/2011,219.45
6/26/2011,224.1
6/27/2011,315.29
6/28/2011,338.98
6/29/2011,318.58
6/30/2011,313.2
7/1/2011,298.95
7/2/2011,213.37
7/3/2011,222.73
7/4/2011,305.25
7/5/2011,317.26
7/6/2011,353.89
7/7/2011,356.96
7/8/2011,348.89
7/9/2011,128.6
7/10/2011,130.3
7/11/2011,370.3
7/12/2011,361.65
7/13/2011,343.24
7/14/2011,328.12
7/15/2011,308.95
7/16/2011,236.33
7/17/2011,230.53
7/18/2011,364.94
7/19/2011,350.73
7/20/2011,360.05
7/21/2011,401.27
7/22/2011,412.9
7/23/2011,134.53
