ds,y
1/1/2016,188.84
1/2/2016,175.3
1/3/2016,174.71
1/4/2016,258.38
1/5/2016,256.17
1/6/2016,228.59
1/7/2016,221.15
1/8/2016,223.79
1/9/2016,161.08
1/10/2016,163.46
1/11/2016,241.99
1/12/2016,239.12
1/13/2016,236.87
1/14/2016,246.05
1/15/2016,226.15
1/16/2016,158.83
1/17/2016,164.4
1/18/2016,223.42
1/19/2016,253.79
1/20/2016,235.36
1/21/2016,247.96
1/22/2016,245.5
1/23/2016,179.34
1/24/2016,173.41
1/25/2016,235.37
1/26/2016,228.16
1/27/2016,219.49
1/28/2016,235.1
1/29/2016,227.18
1/30/2016,152.67
1/31/2016,147.37
2/1/2016,206.51
2/2/2016,212.33
2/3/2016,208.87
2/4/2016,208.55
2/5/2016,229.86
2/6/2016,169.1
2/7/2016,165.46
2/8/2016,234.36
2/9/2016,224.16
2/10/2016,228.24
2/11/2016,238.08
2/12/2016,209.14
2/13/2016,206.86
2/14/2016,259.41
2/15/2016,222.55
2/16/2016,217.2
2/17/2016,234.17
2/18/2016,243.97
2/19/2016,227.11
2/20/2016,146.23
2/21/2016,152.9
2/22/2016,205.43
2/23/2016,221.61
2/24/2016,218.74
2/25/2016,218.51
2/26/2016,231.43
2/27/2016,158.83
2/28/2016,155.27
2/29/2016,209.71
3/1/2016,218.18
3/2/2016,216.43
3/3/2016,240.32
3/4/2016,237.64
3/5/2016,172.88
3/6/2016,174.51
3/7/2016,212.6
3/8/2016,202.52
3/9/2016,198.94
3/10/2016,208.13
3/11/2016,203.49
3/12/2016,128.66
3/13/2016,131.050435
3/14/2016,199.37
3/15/2016,206.47
3/16/2016,206.38
3/17/2016,209.34
3/18/2016,205.24
3/19/2016,160.43
3/20/2016,168.85
3/21/2016,218.97
3/22/2016,214.44
3/23/2016,198.98
3/24/2016,200.16
3/25/2016,216.88
3/26/2016,128.02
3/27/2016,132.35
3/28/2016,201.01
3/29/2016,212.32
3/30/2016,215.94
3/31/2016,235.15
4/1/2016,244.11
4/2/2016,154.3
4/3/2016,164.51
4/4/2016,229.4
4/5/2016,236.04
4/6/2016,232.22
4/7/2016,223.74
4/8/2016,213.53
4/9/2016,155.07
4/10/2016,163.46
4/11/2016,209.26
4/12/2016,210.2
4/13/2016,206.68
4/14/2016,212.8
4/15/2016,199.38
4/16/2016,130.87
4/17/2016,138.76
4/18/2016,241.61
4/19/2016,243.39
4/20/2016,200.83
4/21/2016,209.34
4/22/2016,249.49
4/23/2016,137.03
4/24/2016,144.96
4/25/2016,250.73
4/26/2016,201.69
4/27/2016,205.92
4/28/2016,214.2
4/29/2016,198.91
4/30/2016,144.51
5/1/2016,141.81
5/2/2016,206.22
5/3/2016,205.25
5/4/2016,201.43
5/5/2016,204.69
5/6/2016,201.84
5/7/2016,140.47
5/8/2016,140.13
5/9/2016,227.56
5/10/2016,197.52
5/11/2016,247.8
5/12/2016,267.61
5/13/2016,223.93
5/14/2016,125.78
5/15/2016,126.21
5/16/2016,185.37
5/17/2016,190.9
5/18/2016,205.23
5/19/2016,224.76
5/20/2016,225
5/21/2016,120.46
5/22/2016,115.39
5/23/2016,245.01
5/24/2016,238.36
5/25/2016,245.06
5/26/2016,270.5
5/27/2016,256.93
5/28/2016,115.65
5/29/2016,123.12
5/30/2016,197.72
5/31/2016,342.64
6/1/2016,256.21
6/2/2016,271.55
6/3/2016,245.18
6/4/2016,111.09
6/5/2016,123.43
6/6/2016,297.22
6/7/2016,252.06
6/8/2016,214.58
6/9/2016,229.01
6/10/2016,209.72
6/11/2016,94.79
6/12/2016,97.89
6/13/2016,266
6/14/2016,223.47
6/15/2016,240.25
6/16/2016,288.93
6/17/2016,249.44
6/18/2016,115.5
6/19/2016,117.46
6/20/2016,309.6
6/21/2016,252.05
6/22/2016,252.47
6/23/2016,263.68
6/24/2016,244.38
6/25/2016,99.95
6/26/2016,112.89
6/27/2016,319.61
6/28/2016,259.69
6/29/2016,248.92
6/30/2016,270.26
7/1/2016,255.35
7/2/2016,191.89
7/3/2016,182.87
7/4/2016,188.96
7/5/2016,269.39
7/6/2016,337.66
7/7/2016,418.82
7/8/2016,335.69
7/9/2016,103.57
7/10/2016,119.11
7/11/2016,304.54
7/12/2016,259.66
7/13/2016,280.37
7/14/2016,312.09
7/15/2016,280.75
7/16/2016,105.71
7/17/2016,120.71
7/18/2016,369.92
7/19/2016,315.29
7/20/2016,260.82
7/21/2016,301.59
7/22/2016,294.95
7/23/2016,123.72
7/24/2016,225.47
7/25/2016,426.94
7/26/2016,409.04
7/27/2016,373.85
7/28/2016,304.96
7/29/2016,262.07
7/30/2016,140.79
7/31/2016,116.02
8/1/2016,332.81
8/2/2016,261.3
8/3/2016,258.08
8/4/2016,278.39
8/5/2016,252.88
8/6/2016,102.21
8/7/2016,119
8/8/2016,338.89
8/9/2016,274.52
8/10/2016,295.89
8/11/2016,426.15
8/12/2016,348.87
8/13/2016,201.65
8/14/2016,120.89
8/15/2016,370.26
8/16/2016,361.18
8/17/2016,354.97
8/18/2016,362.39
8/19/2016,283.94
8/20/2016,193.58
8/21/2016,213.86
8/22/2016,339.35
8/23/2016,272.28
8/24/2016,278.56
8/25/2016,310.92
8/26/2016,280.4
8/27/2016,192.47
8/28/2016,127.23
8/29/2016,346.25
8/30/2016,267.94
8/31/2016,283.31
9/1/2016,302.41
9/2/2016,252.36
9/3/2016,97.67
9/4/2016,97.96
9/5/2016,160.65
9/6/2016,269.84
9/7/2016,282.85
9/8/2016,310.35
9/9/2016,278.22
9/10/2016,116.71
9/11/2016,127.09
9/12/2016,323.68
9/13/2016,269.73
9/14/2016,269.05
9/15/2016,276.26
9/16/2016,243.95
9/17/2016,98.08
9/18/2016,100.71
9/19/2016,277.34
9/20/2016,276.32
9/21/2016,249.85
9/22/2016,265.11
9/23/2016,244.43
9/24/2016,95.23
9/25/2016,94.73
9/26/2016,208.74
9/27/2016,217.36
9/28/2016,241.21
9/29/2016,219.85
9/30/2016,181.27
10/1/2016,94.76
10/2/2016,90.35
10/3/2016,232.34
10/4/2016,182
10/5/2016,177.2
10/6/2016,253.82
10/7/2016,230.95
10/8/2016,92.96
10/9/2016,90.73
10/10/2016,116.01
10/11/2016,176.76
10/12/2016,169.86
10/13/2016,226.03
10/14/2016,173.22
10/15/2016,88.56
10/16/2016,88.34
10/17/2016,231.69
10/18/2016,245.95
10/19/2016,255.36
10/20/2016,243.17
10/21/2016,237.04
10/22/2016,89.59
10/23/2016,86.5
10/24/2016,173.37
10/25/2016,188.2
10/26/2016,196.59
10/27/2016,204.33
10/28/2016,194.56
10/29/2016,116.89
