ds,y
1/1/2011,496.35
1/2/2011,484.13
1/3/2011,575.84
1/4/2011,581.45
1/5/2011,580.01
1/6/2011,581.54
1/7/2011,571.02
1/8/2011,524.96
1/9/2011,499.71
1/10/2011,582.28
1/11/2011,586.44
1/12/2011,574.53
1/13/2011,585.95
1/14/2011,586
1/15/2011,532.14
1/16/2011,526.4
1/17/2011,505.2
1/18/2011,574.91
1/19/2011,587.07
1/20/2011,583.64
1/21/2011,578.43
1/22/2011,530.98
1/23/2011,506.28
1/24/2011,589.63
1/25/2011,588.96
1/26/2011,579.29
1/27/2011,545.57
1/28/2011,576.77
1/29/2011,535.52
1/30/2011,509.53
1/31/2011,586.28
2/1/2011,584.83
2/2/2011,576.7
2/3/2011,580.52
2/4/2011,573.43
2/5/2011,518.57
2/6/2011,486.43
2/7/2011,561.26
2/8/2011,565.12
2/9/2011,581.69
2/10/2011,579.95
2/11/2011,575.37
2/12/2011,526.79
2/13/2011,494.32
2/14/2011,557.22
2/15/2011,576.02
2/16/2011,576.51
2/17/2011,565.08
2/18/2011,538.79
2/19/2011,522.71
2/20/2011,494.37
2/21/2011,497.15
2/22/2011,573.86
2/23/2011,581.82
2/24/2011,574.64
2/25/2011,557.01
2/26/2011,527.28
2/27/2011,511.48
2/28/2011,554.18
3/1/2011,577.1
3/2/2011,569.69
3/3/2011,587.64
3/4/2011,576.26
3/5/2011,476.83
3/6/2011,461.24
3/7/2011,557.05
3/8/2011,585.12
3/9/2011,568.52
3/10/2011,558.67
3/11/2011,551.65
3/12/2011,492.23
3/13/2011,492.74
3/14/2011,567.2
3/15/2011,583.31
3/16/2011,564.11
3/17/2011,556.3
3/18/2011,535.88
3/19/2011,507.64
3/20/2011,499.2
3/21/2011,551.99
3/22/2011,559.1
3/23/2011,562.72
3/24/2011,562.85
3/25/2011,566.41
3/26/2011,519.74
3/27/2011,489.16
3/28/2011,566.22
3/29/2011,569.33
3/30/2011,569.75
3/31/2011,564.85
4/1/2011,553.3
4/2/2011,509.55
4/3/2011,485.71
4/4/2011,538.22
4/5/2011,551.1
4/6/2011,558.84
4/7/2011,558.18
4/8/2011,558.95
4/9/2011,508.37
4/10/2011,475.08
4/11/2011,534.79
4/12/2011,549.39
4/13/2011,549.44
4/14/2011,547.74
4/15/2011,559.33
4/16/2011,513.96
4/17/2011,472.6
4/18/2011,553.8
4/19/2011,554.99
4/20/2011,554.24
4/21/2011,559.54
4/22/2011,561.75
4/23/2011,504.84
4/24/2011,468.05
4/25/2011,587.87
4/26/2011,611.46
4/27/2011,624.32
4/28/2011,608.99
4/29/2011,548.41
4/30/2011,499.43
5/1/2011,474.42
5/2/2011,543.95
5/3/2011,543.65
5/4/2011,553.27
5/5/2011,555.76
5/6/2011,550.24
5/7/2011,497.94
5/8/2011,471.73
5/9/2011,550.64
5/10/2011,578.37
5/11/2011,544.93
5/12/2011,577.15
5/13/2011,541.85
5/14/2011,487.91
5/15/2011,485.49
5/16/2011,574.35
5/17/2011,538.46
5/18/2011,586.99
5/19/2011,579.29
5/20/2011,557.24
5/21/2011,547.65
5/22/2011,464.1
5/23/2011,530.73
5/24/2011,695.99
5/25/2011,646.18
5/26/2011,690.78
5/27/2011,731.16
5/28/2011,696.52
5/29/2011,670.18
5/30/2011,691.33
5/31/2011,750.14
6/1/2011,772.94
6/2/2011,621.65
6/3/2011,545.6
6/4/2011,535.54
6/5/2011,532.15
6/6/2011,605.67
6/7/2011,695.63
6/8/2011,763.47
6/9/2011,788.74
6/10/2011,705.97
6/11/2011,568.13
6/12/2011,522.39
6/13/2011,594.04
6/14/2011,545.65
6/15/2011,595.61
