ds,y
1/1/2016,403.56
1/2/2016,384.08
1/3/2016,368.93
1/4/2016,447.52
1/5/2016,475.36
1/6/2016,466.36
1/7/2016,454.03
1/8/2016,446.97
1/9/2016,372.85
1/10/2016,358.09
1/11/2016,443.45
1/12/2016,452.18
1/13/2016,451.47
1/14/2016,452.01
1/15/2016,441.57
1/16/2016,374.03
1/17/2016,364.04
1/18/2016,388.09
1/19/2016,454.70
1/20/2016,457.01
1/21/2016,461.01
1/22/2016,458.85
1/23/2016,380.10
1/24/2016,374.46
1/25/2016,442.17
1/26/2016,447.52
1/27/2016,448.66
1/28/2016,449.48
1/29/2016,445.46
1/30/2016,360.94
1/31/2016,355.03
2/1/2016,433.77
2/2/2016,451.75
2/3/2016,452.27
2/4/2016,457.04
2/5/2016,456.02
2/6/2016,399.31
2/7/2016,390.33
2/8/2016,452.64
2/9/2016,462.93
2/10/2016,460.47
2/11/2016,468.97
2/12/2016,472.05
2/13/2016,403.23
2/14/2016,399.54
2/15/2016,408.32
2/16/2016,452.47
2/17/2016,464.35
2/18/2016,474.10
2/19/2016,467.29
2/20/2016,386.92
2/21/2016,377.60
2/22/2016,453.71
2/23/2016,469.65
2/24/2016,465.07
2/25/2016,455.54
2/26/2016,459.58
2/27/2016,368.67
2/28/2016,359.21
2/29/2016,438.98
3/1/2016,456.94
3/2/2016,459.33
3/3/2016,473.34
3/4/2016,459.29
3/5/2016,406.89
3/6/2016,379.02
3/7/2016,437.17
3/8/2016,437.72
3/9/2016,430.71
3/10/2016,426.81
3/11/2016,432.88
3/12/2016,380.70
3/13/2016,280.65
3/14/2016,426.60
3/15/2016,449.47
3/16/2016,441.97
3/17/2016,434.45
3/18/2016,432.65
3/19/2016,396.75
3/20/2016,401.69
3/21/2016,440.49
3/22/2016,442.28
3/23/2016,429.49
3/24/2016,430.87
3/25/2016,420.38
3/26/2016,373.86
3/27/2016,324.60
3/28/2016,432.46
3/29/2016,437.17
3/30/2016,446.98
3/31/2016,429.41
4/1/2016,422.31
4/2/2016,363.35
4/3/2016,374.95
4/4/2016,437.89
4/5/2016,453.25
4/6/2016,454.55
4/7/2016,433.30
4/8/2016,431.22
4/9/2016,392.41
4/10/2016,396.80
4/11/2016,428.33
4/12/2016,426.91
4/13/2016,436.71
4/14/2016,433.89
4/15/2016,431.68
4/16/2016,378.94
4/17/2016,354.00
4/18/2016,413.12
4/19/2016,411.89
4/20/2016,413.35
4/21/2016,419.58
4/22/2016,419.62
4/23/2016,357.49
4/24/2016,347.62
4/25/2016,409.91
4/26/2016,421.48
4/27/2016,432.74
4/28/2016,423.73
4/29/2016,418.02
4/30/2016,377.20
5/1/2016,361.44
5/2/2016,367.72
5/3/2016,407.91
5/4/2016,384.58
5/5/2016,363.88
5/6/2016,382.70
5/7/2016,316.51
5/8/2016,301.82
5/9/2016,384.08
5/10/2016,406.95
5/11/2016,396.46
5/12/2016,418.13
5/13/2016,412.88
5/14/2016,342.99
5/15/2016,331.89
5/16/2016,399.80
5/17/2016,414.88
5/18/2016,416.08
5/19/2016,431.37
5/20/2016,427.84
5/21/2016,371.01
5/22/2016,364.41
5/23/2016,421.10
5/24/2016,442.44
5/25/2016,543.99
5/26/2016,540.77
5/27/2016,537.35
5/28/2016,501.29
5/29/2016,450.70
5/30/2016,408.96
5/31/2016,567.35
6/1/2016,521.44
6/2/2016,512.48
6/3/2016,512.49
6/4/2016,475.91
6/5/2016,353.14
6/6/2016,526.16
6/7/2016,541.76
6/8/2016,466.56
6/9/2016,415.21
6/10/2016,474.29
6/11/2016,358.12
6/12/2016,431.08
6/13/2016,424.62
6/14/2016,509.11
6/15/2016,530.78
6/16/2016,602.95
6/17/2016,607.60
6/18/2016,607.69
6/19/2016,666.94
6/20/2016,680.19
6/21/2016,733.84
6/22/2016,751.46
6/23/2016,706.36
6/24/2016,676.14
6/25/2016,666.56
6/26/2016,645.96
6/27/2016,712.80
6/28/2016,561.71
6/29/2016,541.31
6/30/2016,526.81
7/1/2016,546.91
7/2/2016,452.69
7/3/2016,429.56
7/4/2016,424.94
7/5/2016,565.46
7/6/2016,624.26
7/7/2016,699.03
7/8/2016,621.09
7/9/2016,474.21
7/10/2016,452.22
7/11/2016,506.06
7/12/2016,553.27
7/13/2016,570.04
7/14/2016,847.28
7/15/2016,1069.57
7/16/2016,851.42
7/17/2016,851.08
7/18/2016,956.39
7/19/2016,775.10
7/20/2016,707.18
7/21/2016,758.00
7/22/2016,985.46
7/23/2016,856.80
7/24/2016,792.67
7/25/2016,976.12
7/26/2016,932.16
7/27/2016,895.83
7/28/2016,1009.98
7/29/2016,903.53
7/30/2016,863.06
7/31/2016,815.43
8/1/2016,778.22
8/2/2016,702.00
8/3/2016,558.49
8/4/2016,745.83
8/5/2016,784.25
8/6/2016,942.60
8/7/2016,693.48
8/8/2016,786.43
8/9/2016,846.66
8/10/2016,1051.95
8/11/2016,1138.64
8/12/2016,1088.86
8/13/2016,1101.11
8/14/2016,1038.77
8/15/2016,1075.79
8/16/2016,1108.92
8/17/2016,945.40
8/18/2016,851.27
8/19/2016,858.29
8/20/2016,818.03
8/21/2016,854.65
8/22/2016,666.04
8/23/2016,641.39
8/24/2016,732.37
8/25/2016,837.21
8/26/2016,962.68
8/27/2016,736.00
8/28/2016,741.72
8/29/2016,844.41
8/30/2016,813.42
8/31/2016,699.73
9/1/2016,862.66
9/2/2016,582.29
9/3/2016,445.81
9/4/2016,413.95
9/5/2016,436.96
9/6/2016,504.79
9/7/2016,533.68
9/8/2016,595.78
9/9/2016,628.49
9/10/2016,624.14
9/11/2016,519.71
9/12/2016,556.39
9/13/2016,632.98
9/14/2016,535.22
9/15/2016,449.68
9/16/2016,475.47
9/17/2016,347.88
9/18/2016,521.87
9/19/2016,499.58
9/20/2016,556.85
9/21/2016,511.65
9/22/2016,492.86
9/23/2016,505.59
9/24/2016,362.19
9/25/2016,351.89
9/26/2016,402.06
9/27/2016,505.55
9/28/2016,484.60
9/29/2016,412.73
9/30/2016,403.96
10/1/2016,344.62
10/2/2016,333.83
10/3/2016,392.67
10/4/2016,409.77
10/5/2016,403.83
10/6/2016,402.02
10/7/2016,468.32
10/8/2016,361.67
10/9/2016,345.30
10/10/2016,329.20
10/11/2016,396.51
10/12/2016,397.82
10/13/2016,401.55
10/14/2016,399.24
10/15/2016,330.85
10/16/2016,292.07
10/17/2016,390.90
10/18/2016,497.74
10/19/2016,498.72
10/20/2016,402.53
10/21/2016,497.05
10/22/2016,326.27
10/23/2016,270.61
10/24/2016,370.76
