Date,Time,Energy_kW
1/1/2013,12:15:00 AM,1710.72
1/1/2013,12:30:00 AM,1700.16
1/1/2013,12:45:00 AM,1726.08
1/1/2013,1:00:00 AM,1705.92
1/1/2013,1:15:00 AM,1708.8
1/1/2013,1:30:00 AM,1719.36
1/1/2013,1:45:00 AM,1708.8
1/1/2013,2:00:00 AM,1708.8
1/1/2013,2:15:00 AM,1711.68
1/1/2013,2:30:00 AM,1705.92
1/1/2013,2:45:00 AM,1707.84
1/1/2013,3:00:00 AM,1707.84
1/1/2013,3:15:00 AM,1703.04
1/1/2013,3:30:00 AM,1702.08
1/1/2013,3:45:00 AM,1706.88
1/1/2013,4:00:00 AM,1706.88
1/1/2013,4:15:00 AM,1690.56
1/1/2013,4:30:00 AM,1710.72
1/1/2013,4:45:00 AM,1713.6
1/1/2013,5:00:00 AM,1788.48
1/1/2013,5:15:00 AM,1868.16
1/1/2013,5:30:00 AM,2002.56
1/1/2013,5:45:00 AM,2069.76
1/1/2013,6:00:00 AM,2131.2
1/1/2013,6:15:00 AM,2162.88
1/1/2013,6:30:00 AM,2152.32
1/1/2013,6:45:00 AM,2144.64
1/1/2013,7:00:00 AM,2169.6
1/1/2013,7:15:00 AM,2320.32
1/1/2013,7:30:00 AM,2307.84
1/1/2013,7:45:00 AM,2310.72
1/1/2013,8:00:00 AM,2305.92
1/1/2013,8:15:00 AM,2295.36
1/1/2013,8:30:00 AM,2293.44
1/1/2013,8:45:00 AM,2293.44
1/1/2013,9:00:00 AM,2293.44
1/1/2013,9:15:00 AM,2292.48
1/1/2013,9:30:00 AM,2289.6
1/1/2013,9:45:00 AM,2288.64
1/1/2013,10:00:00 AM,2281.92
1/1/2013,10:15:00 AM,2269.44
1/1/2013,10:30:00 AM,2282.88
1/1/2013,10:45:00 AM,2276.16
1/1/2013,11:00:00 AM,2276.16
1/1/2013,11:15:00 AM,2280.96
1/1/2013,11:30:00 AM,2291.52
1/1/2013,11:45:00 AM,2278.08
1/1/2013,12:00:00 PM,2289.6
1/1/2013,12:15:00 PM,2302.08
1/1/2013,12:30:00 PM,2276.16
1/1/2013,12:45:00 PM,2287.68
1/1/2013,1:00:00 PM,2294.4
1/1/2013,1:15:00 PM,2277.12
1/1/2013,1:30:00 PM,2283.84
1/1/2013,1:45:00 PM,2294.4
1/1/2013,2:00:00 PM,2285.76
1/1/2013,2:15:00 PM,2292.48
1/1/2013,2:30:00 PM,2301.12
1/1/2013,2:45:00 PM,2285.76
1/1/2013,3:00:00 PM,2294.4
1/1/2013,3:15:00 PM,2293.44
1/1/2013,3:30:00 PM,2288.64
1/1/2013,3:45:00 PM,2290.56
1/1/2013,4:00:00 PM,2294.4
1/1/2013,4:15:00 PM,2272.32
1/1/2013,4:30:00 PM,2285.76
1/1/2013,4:45:00 PM,2312.64
1/1/2013,5:00:00 PM,2307.84
